ACCEPT_ON_K "accept_on"
ALIAS_K "alias"
ALWAYS_COMB_K "always_comb"
ALWAYS_FF_K "always_ff"
ALWAYS_K "always"
ALWAYS_LATCH_K "always_latch"
AND_K "and"
ASSERT_K "assert"
ASSIGN_K "assign"
ASSUME_K "assume"
AUTOMATIC_K "automatic"
BEFORE_K "before"
BEGIN_K "begin"
BIND_K "bind"
BINSOF_K "binsof"
BINS_K "bins"
BIT_K "bit"
BREAK_K "break"
BUFIF0_K "bufif0"
BUFIF1_K "bufif1"
BUF_K "buf"
BYTE_K "byte"
CASEX_K "casex"
CASEZ_K "casez"
CASE_K "case"
CELL_K "cell"
CHANDLE_K "chandle"
CHECKER_K "checker"
CLASS_K "class"
CLOCKING_K "clocking"
CMOS_K "cmos"
CONFIG_K "config"
CONSTRAINT_K "constraint"
CONST_K "const"
CONTEXT_K "context"
CONTINUE_K "continue"
COVERGROUP_K "covergroup"
COVERPOINT_K "coverpoint"
COVER_K "cover"
CROSS_K "cross"
DEASSIGN_K "deassign"
DEFAULT_K "default"
DEFPARAM_K "defparam"
DESIGN_K "design"
DISABLE_K "disable"
DIST_K "dist"
DO_K "do"
EDGE_K "edge"
ELSE_K "else"
ENDCASE_K "endcase"
ENDCHECKER_K "endchecker"
ENDCLASS_K "endclass"
ENDCLOCKING_K "endclocking"
ENDCONFIG_K "endconfig"
ENDFUNCTION_K "endfunction"
ENDGENERATE_K "endgenerate"
ENDGROUP_K "endgroup"
ENDINTERFACE_K "endinterface"
ENDMODULE_K "endmodule"
ENDPACKAGE_K "endpackage"
ENDPRIMITIVE_K "endprimitive"
ENDPROGRAM_K "endprogram"
ENDPROPERTY_K "endproperty"
ENDSEQUENCE_K "endsequence"
ENDSPECIFY_K "endspecify"
ENDTABLE_K "endtable"
ENDTASK_K "endtask"
END_K "end"
ENUM_K "enum"
EVENTUALLY_K "eventually"
EVENT_K "event"
EXPECT_K "expect"
EXPORT_K "export"
EXTENDS_K "extends"
EXTERN_K "extern"
FINAL_K "final"
FIRST_MATCH_K "first_match"
FORCE_K "force"
FOREACH_K "foreach"
FOREVER_K "forever"
FORKJOIN_K "forkjoin"
FORK_K "fork"
FOR_K "for"
FUNCTION_K "function"
GENERATE_K "generate"
GENVAR_K "genvar"
GLOBAL_K "global"
HIGHZ0_K "highz0"
HIGHZ1_K "highz1"
IFF_K "iff"
IFNONE_K "ifnone"
IF_K "if"
IGNORE_BINS_K "ignore_bins"
ILLEGAL_BINS_K "illegal_bins"
IMPLIES_K "implies"
IMPORT_K "import"
INCDIR_K "incdir"
INCLUDE_K "include"
INITIAL_K "initial"
INOUT_K "inout"
INPUT_K "input"
INSIDE_K "inside"
INSTANCE_K "instance"
INTEGER_K "integer"
INTERFACE_K "interface"
INTERSECT_K "intersect"
INT_K "int"
JOIN_ANY_K "join_any"
JOIN_K "join"
JOIN_NONE_K "join_none"
LARGE_K "large"
